2297.49    4.11516    2320.09    26.5333    10.0069    13679.9   
2305.03    3.85387    2302.05    24.1671    10.0467    13698     
2338.2     3.94919    2320.62    24.5582    10.1415    13679.4   
2377.62    4.23232    2395.44    28.1661    10.0949    13604.6   
2354.75    4.11465    2397.38    26.216     10.0537    13602.6   
2365.34    3.98356    2330.23    25.4431    10.149     13669.8   
2347.87    4.01527    2310.94    25.4605    10.1223    13689.1   
2365.32    3.92936    2317.42    23.953     10.1895    13682.6   
2349.4     4.08439    2298.1     27.8214    10.409     13701.9   
2326.33    3.92436    2326.95    23.2599    10.1114    13673     
2347.65    3.91329    2359.09    24.1114    9.99876    13640.9   
2354.71    4.14115    2434.24    26.9306    10.2592    13565.8   
2414.79    3.93446    2356.82    23.9481    10.0951    13643.2   
2379.85    3.85382    2367.07    23.322     10.0875    13632.9   
2381.56    3.8843     2303.62    24.3778    10.1467    13696.4   
2308.86    4.60558    2342.62    34.0147    9.98977    13657.4   
2323.2     4.13165    2358.67    26.9826    10.002     13641.3   
2365.7     4.03608    2336.86    25.4743    10.169     13663.1   
2365.65    3.9948     2385.94    24.9331    10.0875    13614.1   
2318.67    3.98016    2315.43    24.538     10.0776    13684.6   
2337       4.49093    2326.41    30.3685    10.0623    13673.6   
2363.79    4.14111    2329.69    27.0599    10.1243    13670.3   
2352.87    3.98986    2301.34    25.5486    10.1987    13698.7   
2328.34    4.10446    2355.02    26.9833    10.1202    13645     
2329.16    3.91549    2299.13    23.959     10.0715    13700.9   
